Channel_Name,Label,Type,Group
Quadrant A Temperature 25 mm Below Ceiling,25 mm Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 0.3 m Below Ceiling,0.3 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 0.6 m Below Ceiling,0.6 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 0.9 m Below Ceiling,0.9 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 1.2 m Below Ceiling,1.2 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 1.5 m Below Ceiling,1.5 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 1.8 m Below Ceiling,1.8 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 2.1 m Below Ceiling,2.1 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant B Temperature 25 mm Below Ceiling,25 mm Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 0.3 m Below Ceiling,0.3 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 0.6 m Below Ceiling,0.6 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 0.9 m Below Ceiling,0.9 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 1.2 m Below Ceiling,1.2 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 1.5 m Below Ceiling,1.5 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 1.8 m Below Ceiling,1.8 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 2.1 m Below Ceiling,2.1 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant C Temperature 25 mm Below Ceiling,25 mm Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 0.3 m Below Ceiling,0.3 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 0.6 m Below Ceiling,0.6 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 0.9 m Below Ceiling,0.9 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 1.2 m Below Ceiling,1.2 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 1.5 m Below Ceiling,1.5 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 1.8 m Below Ceiling,1.8 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 2.1 m Below Ceiling,2.1 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant D Temperature 25 mm Below Ceiling,25 mm Below Ceiling,Temperature,Quadrant_D_Temperature
Quadrant D Temperature 0.3 m Below Ceiling,0.3 m Below Ceiling,Temperature,Quadrant_D_Temperature
Quadrant D Temperature 0.6 m Below Ceiling,0.6 m Below Ceiling,Temperature,Quadrant_D_Temperature
Quadrant D Temperature 0.9 m Below Ceiling,0.9 m Below Ceiling,Temperature,Quadrant_D_Temperature
Quadrant D Temperature 1.2 m Below Ceiling,1.2 m Below Ceiling,Temperature,Quadrant_D_Temperature
Quadrant D Temperature 1.5 m Below Ceiling,1.5 m Below Ceiling,Temperature,Quadrant_D_Temperature
Quadrant D Temperature 1.8 m Below Ceiling,1.8 m Below Ceiling,Temperature,Quadrant_D_Temperature
Quadrant D Temperature 2.1 m Below Ceiling,2.1 m Below Ceiling,Temperature,Quadrant_D_Temperature
Doorway Temperature 0.25 m Below Lintel,0.25 m Below Lintel,Temperature,Doorway_Temperature
Doorway Temperature 0.50 m Below Lintel,0.50 m Below Lintel,Temperature,Doorway_Temperature
Doorway Temperature 0.75 m Below Lintel,0.75 m Below Lintel,Temperature,Doorway_Temperature
Doorway Temperature 1.00 m Below Lintel,1.00 m Below Lintel,Temperature,Doorway_Temperature
Doorway Temperature 1.25 m Below Lintel,1.25 m Below Lintel,Temperature,Doorway_Temperature
Doorway Temperature 1.50 m Below Lintel,1.50 m Below Lintel,Temperature,Doorway_Temperature
Doorway Temperature 1.75 m Below Lintel,1.75 m Below Lintel,Temperature,Doorway_Temperature
Plume Temperature 0.65 m Below Ceiling,0.65 m Below Ceiling,Temperature,Plume_Temperature
Plume Temperature 1.3 m Below Ceiling,1.3 m Below Ceiling,Temperature,Plume_Temperature
Doorway Velocity 0.25 m Below Lintel,0.25 m Below Lintel,Velocity,Doorway_Velocity
Doorway Velocity 0.50 m Below Lintel,0.50 m Below Lintel,Velocity,Doorway_Velocity
Doorway Velocity 0.75 m Below Lintel,0.75 m Below Lintel,Velocity,Doorway_Velocity
Doorway Velocity 1.00 m Below Lintel,1.00 m Below Lintel,Velocity,Doorway_Velocity
Doorway Velocity 1.25 m Below Lintel,1.25 m Below Lintel,Velocity,Doorway_Velocity
Doorway Velocity 1.50 m Below Lintel,1.50 m Below Lintel,Velocity,Doorway_Velocity
Doorway Velocity 1.75 m Below Lintel,1.75 m Below Lintel,Velocity,Doorway_Velocity
Plume Velocity 0.65 m Below Ceiling,0.65 m Below Ceiling,Velocity,Plume_Velocity
Plume Velocity 1.3 m Below Ceiling,1.3 m Below Ceiling,Velocity,Plume_Velocity
Quadrant C Pressure 0.3 m Below Ceiling,0.3 m Below Ceiling,Pressure,Quadrant_C_Pressure
Quadrant C Pressure 1.2 m Below Ceiling,1.2 m Below Ceiling,Pressure,Quadrant_C_Pressure
Quadrant C Pressure 2.1 m Below Ceiling,2.1 m Below Ceiling,Pressure,Quadrant_C_Pressure
Quad A Oxygen 0.6 m Below Ceiling,Quad A 0.6 m Below Ceiling,Oxygen,Oxygen
Quad A Oxygen 1.8 m Below Ceiling,Quad A 1.8 m Below Ceiling,Oxygen,Oxygen
Quad B Oxygen 0.6 m Below Ceiling,Quad B 0.6 m Below Ceiling,Oxygen,Oxygen
Quad B Oxygen 1.8 m Below Ceiling,Quad B 1.8 m Below Ceiling,Oxygen,Oxygen
Quad C Oxygen 0.6 m Below Ceiling,Quad C 0.6 m Below Ceiling,Oxygen,Oxygen
Quad C Oxygen 1.8 m Below Ceiling,Quad C 1.8 m Below Ceiling,Oxygen,Oxygen
Quad D Oxygen 0.6 m Below Ceiling,Quad D 0.6 m Below Ceiling,Oxygen,Oxygen
Quad D Oxygen 1.8 m Below Ceiling,Quad D 1.8 m Below Ceiling,Oxygen,Oxygen
Plume Total Heat Flux 0.65 m Below Ceiling,Total HF 0.65 m Below Ceiling,Total Heat Flux,Plume_Heat_Flux
Plume Total Heat Flux 1.3 m Below Ceiling,Total HF 1.3 m Below Ceiling,Total Heat Flux,Plume_Heat_Flux
Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Total HF 0.65 m Below Ceiling,Total Heat Flux,Wall_Heat_Flux
Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Total HF 1.3 m Below Ceiling,Total Heat Flux,Wall_Heat_Flux
Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Radiant HF 0.65 m Below Ceiling,Radiant Heat Flux,Wall_Heat_Flux
Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Radiant HF 1.3 m Below Ceiling,Radiant Heat Flux,Wall_Heat_Flux
Heat Release Rate,Heat Release Rate,Heat Release Rate,Heat_Release_Rate